idx,blocks,b,sizes,J_float,J_recon,tag,wall_s
39,"[[0], [1, 3, 5], [2], [4]]",4,"[1, 1, 1, 3]",np.float64(0.009523809523788118),1/105,ok,14.75
40,"[[0], [1, 3], [2, 5], [4]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936404658),1/1260,ok,16.03
41,"[[0], [1, 3], [2], [4, 5]]",4,"[1, 1, 2, 2]",np.float64(-1.9373391779708982e-14),0,zero,15.01
42,"[[0, 4], [1], [2, 3], [5]]",4,"[1, 1, 2, 2]",np.float64(-1.942890293094024e-14),0,zero,15.09
43,"[[0], [1, 4], [2, 3], [5]]",4,"[1, 1, 2, 2]",np.float64(-7.66053886991358e-15),0,zero,15.11
44,"[[0], [1], [2, 3, 4], [5]]",4,"[1, 1, 1, 3]",np.float64(-4.168887457467463e-14),0,zero,14.77
45,"[[0, 5], [1], [2, 3], [4]]",4,"[1, 1, 2, 2]",np.float64(-3.091971123581061e-14),0,zero,15.11
46,"[[0], [1, 5], [2, 3], [4]]",4,"[1, 1, 2, 2]",np.float64(-9.880984919163893e-15),0,zero,15.19
47,"[[0], [1], [2, 3, 5], [4]]",4,"[1, 1, 1, 3]",np.float64(-5.662137425588298e-15),0,zero,14.97
48,"[[0], [1], [2, 3], [4, 5]]",4,"[1, 1, 2, 2]",np.float64(-4.168887457467463e-14),0,zero,14.91
49,"[[0, 4, 5], [1], [2], [3]]",4,"[1, 1, 1, 3]",np.float64(-2.6145752229922437e-14),0,zero,14.67
50,"[[0, 4], [1, 5], [2], [3]]",4,"[1, 1, 2, 2]",np.float64(-0.0011904761904813488),-1/840,ok,15.82
51,"[[0, 4], [1], [2, 5], [3]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936336934),1/1260,ok,15.26
