idx,blocks,b,sizes,J_float,J_recon,tag,wall_s
52,"[[0, 4], [1], [2], [3, 5]]",4,"[1, 1, 2, 2]",np.float64(-0.0011904761904841799),-1/840,ok,14.29
53,"[[0, 5], [1, 4], [2], [3]]",4,"[1, 1, 2, 2]",np.float64(-2.4702462297909733e-14),0,zero,14.5
54,"[[0], [1, 4, 5], [2], [3]]",4,"[1, 1, 1, 3]",np.float64(-3.26405569239796e-14),0,zero,14.45
55,"[[0], [1, 4], [2, 5], [3]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936387449),1/1260,ok,15.26
56,"[[0], [1, 4], [2], [3, 5]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936325832),1/1260,ok,15.33
57,"[[0, 5], [1], [2, 4], [3]]",4,"[1, 1, 2, 2]",np.float64(-2.7700064464397656e-14),0,zero,14.54
58,"[[0], [1, 5], [2, 4], [3]]",4,"[1, 1, 2, 2]",np.float64(0.012698412698398054),4/315,ok,15.59
59,"[[0], [1], [2, 4, 5], [3]]",4,"[1, 1, 1, 3]",np.float64(-1.0602629885170245e-14),0,zero,14.55
60,"[[0], [1], [2, 4], [3, 5]]",4,"[1, 1, 2, 2]",np.float64(-0.0011904761904998895),-1/840,ok,14.69
61,"[[0, 5], [1], [2], [3, 4]]",4,"[1, 1, 2, 2]",np.float64(-3.091971123581061e-14),0,zero,14.42
62,"[[0], [1, 5], [2], [3, 4]]",4,"[1, 1, 2, 2]",np.float64(-9.880984919163893e-15),0,zero,14.54
63,"[[0], [1], [2, 5], [3, 4]]",4,"[1, 1, 2, 2]",np.float64(-5.662137425588298e-15),0,zero,14.39
64,"[[0], [1], [2], [3, 4, 5]]",4,"[1, 1, 1, 3]",np.float64(-4.168887457467463e-14),0,zero,13.91
